시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
OC3CL200011,7723,8023,15746,9844,79.97765136123527
V02Q1940856,4932,5226,10158,8246,61.593499878729084
V02Q1940423,5746,6040,11786,9752,60.42863002461034
V02Q1940700,5727,6027,11754,9764,60.19049569848423
V02Q1940703,5693,5993,11686,9713,60.15649130031916
OC3CL200017,5781,6075,11856,9861,60.115606936416185
V02Q1940946,5741,6047,11788,9811,60.07542554275813
V02Q1940059,5733,6027,11760,9791,60.05515269124706
OC3CL210100,4991,5294,10285,8578,59.94987176498018
V02Q1940568,5662,5962,11624,9749,59.6163709098369
V02Q1940954,5705,5996,11701,9857,59.353758750126815
V02Q1940505,5231,5231,10462,8966,58.34262770466205
OC3CL200126,5251,5545,10796,9729,55.483605714873065
V02Q1940587,4462,4765,9227,8467,54.48801228298098
V02Q1940055,5124,5418,10542,9763,53.989552391682885
V02Q1940093,5031,5325,10356,9783,52.92854952468568
V02Q1940384,4972,5266,10238,9781,52.33616194663122
V02Q1940728,4949,5243,10192,9757,52.22916880188583
V02Q1940589,4911,5214,10125,9723,52.06726319037334
V02Q1940444,4932,5229,10161,9764,52.03297828758705
OT3CL180000,1,1,2,2,50.0
V02Q1940129,4592,4763,9355,9838,47.54523277088839
V02Q1940824,3526,3820,7346,8839,41.55447448806426
V02Q1940437,3588,3885,7473,9770,38.244626407369495
V02Q1940352,2991,3051,6042,9819,30.766880537732966
V02Q1940756,2335,2377,4712,9743,24.181463614903006
V02Q1940530,846,846,1692,3713,22.78481012658228
V02Q1940421,1482,1653,3135,9752,16.073625922887615
OC3CL200062,739,739,1478,9770,7.563971340839304
OC3CL200225,303,0,303,6024,2.5149402390438245
OC3CL200245,174,174,348,9806,1.7744238221497042
V02Q1940816,294,0,294,8595,1.7102966841186735
V02Q1940226,303,0,303,9657,1.5688101894998447
V02Q1940150,297,0,297,9575,1.5509138381201044
V02Q1940579,303,0,303,9776,1.5497135842880525
