시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
V02Q1940503,1588,1657,3245,6396,25.367417135709818
V02Q1940564,1509,1578,3087,6358,24.276502044668135
V02Q1940274,1443,1512,2955,6276,23.54206500956023
V02Q1940466,1020,1089,2109,6266,16.82891796999681
V02Q1940824,827,896,1723,6082,14.164748438013811
V02Q1940686,604,529,1133,6369,8.894645941278066
V02Q1940885,115,0,115,3835,1.4993481095176011
V02Q1940782,112,0,112,4056,1.3806706114398422
V02Q1940829,104,0,104,3916,1.3278855975485189
V02Q1940821,170,0,170,6406,1.326881049016547
V02Q1940463,166,0,166,6360,1.3050314465408805
V02Q1940561,167,0,167,6403,1.3040762142745588
V02Q1940500,167,0,167,6404,1.3038725796377264
V02Q1940271,159,0,159,6289,1.2641119414851327
V02Q1940147,96,0,96,3990,1.2030075187969926
V02Q1940813,93,0,93,3947,1.1781099569293134
V02Q1940833,95,0,95,4210,1.1282660332541568
V02Q1940630,101,0,101,4566,1.1060008760402977
V02Q1940720,113,0,113,5198,1.0869565217391304
V02Q1940486,106,0,106,5057,1.0480522048645442
V02Q1940556,132,0,132,6416,1.0286783042394014
V02Q1940627,107,0,107,5233,1.0223581119816547
V02Q1940542,128,0,128,6398,1.000312597686777
V02Q1940497,100,0,100,5036,0.9928514694201748
V02Q1940537,127,0,127,6411,0.9904851037279675
V02Q1940541,109,0,109,5531,0.9853552702947025
V02Q1940682,122,0,122,6380,0.9561128526645767
V02Q1940438,93,0,93,4902,0.9485924112607099
V02Q1940679,121,0,121,6403,0.9448695923785725
V02Q1940639,99,0,99,5252,0.9424980959634425
V02Q1940618,120,0,120,6373,0.9414718343009572
V02Q1940645,120,0,120,6385,0.9397024275646046
V02Q1940488,120,0,120,6386,0.9395552771688067
V02Q1940955,110,0,110,5898,0.9325194981349609
V02Q1940662,119,0,119,6392,0.9308510638297872
V02Q1940593,118,0,118,6390,0.9233176838810642
V02Q1940577,118,0,118,6413,0.9200062373304226
V02Q1940737,117,0,117,6386,0.9160663952395867
V02Q1940781,98,0,98,5353,0.9153745563235569
V02Q1940779,117,0,117,6393,0.9150633505396527
V02Q1940575,117,0,117,6422,0.9109311740890688
V02Q1940620,116,0,116,6388,0.9079524107701942
V02Q1940518,114,0,114,6290,0.9062003179650238
V02Q1940379,93,0,93,5134,0.905726529022205
V02Q1940619,104,0,104,5743,0.9054501131812642
