시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
V02Q1940810,154,0,154,9087,0.8473643666776713
V02Q1940108,156,0,156,9206,0.8472735172713448
V02Q1940198,156,0,156,9208,0.8470894874022589
OC3CL200124,150,0,150,8858,0.846692255588169
V02Q1940384,155,0,155,9154,0.8466244264802272
V02Q1940152,156,0,156,9214,0.8465378771434773
V02Q1940634,153,0,153,9041,0.8461453379050989
V02Q1940876,155,0,155,9166,0.8455160375300022
OC3CL200212,153,0,153,9059,0.844464068881775
V02Q1940717,155,0,155,9189,0.8433997170529981
V02Q1940142,152,0,152,9018,0.842758926591262
V02Q1940636,154,0,154,9139,0.8425429478061057
OC3CL200151,145,0,145,8605,0.84253341080767
V02Q1940502,153,0,153,9098,0.8408441415695757
OC3CL200101,150,0,150,8924,0.8404303003137606
V02Q1940182,135,0,135,8032,0.8403884462151394
V02Q1940580,153,0,153,9112,0.8395522388059702
V02Q1940786,154,0,154,9181,0.8386885960135062
V02Q1940128,154,0,154,9184,0.8384146341463415
V02Q1940282,154,0,154,9187,0.8381408512027866
V02Q1940784,155,0,155,9251,0.8377472705653443
OC3CL200096,151,0,151,9017,0.8373073084174337
V02Q1940880,155,0,155,9259,0.8370234366562264
V02Q1940391,153,0,153,9144,0.8366141732283465
V02Q1940554,152,0,152,9089,0.8361755968753439
V02Q1940116,153,0,153,9160,0.8351528384279476
V02Q1940347,153,0,153,9162,0.8349705304518664
OC3CL200059,150,0,150,8983,0.8349103862852054
V02Q1940811,154,0,154,9224,0.8347788378143973
V02Q1940837,155,0,155,9286,0.8345897049321559
V02Q1940863,155,0,155,9292,0.8340507963839863
V02Q1940850,154,0,154,9235,0.8337845154304278
V02Q1940801,154,0,154,9236,0.8336942399307059
V02Q1940560,152,0,152,9117,0.8336075463419985
V02Q1940941,155,0,155,9297,0.8336022372808434
V02Q1940266,154,0,154,9241,0.8332431555026512
V02Q1940858,155,0,155,9306,0.832796045562003
V02Q1940752,152,0,152,9134,0.8320560543026055
OC3CL200022,149,0,149,8979,0.8297137765898207
OC3CL200118,149,0,149,8980,0.8296213808463251
V02Q1940242,153,0,153,9237,0.8281909710945112
V02Q1940641,151,0,151,9117,0.8281232861686959
V02Q1940579,150,0,150,9057,0.8280887711162637
V02Q1941006,154,0,154,9300,0.8279569892473119
V02Q1940406,150,0,150,9059,0.8279059498840933
V02Q1940826,154,0,154,9303,0.8276899924755455
V02Q1940120,140,0,140,8464,0.82703213610586
V02Q1940845,154,0,154,9316,0.8265349935594677
V02Q1940640,151,0,151,9142,0.825858674250711
