시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
V02Q1940437,6747,6747,13494,6828,98.81370826010544
V02Q1940700,7286,7286,14572,7415,98.26028320971004
V02Q1940421,5414,5414,10828,5765,93.91153512575889
V02Q1940055,5913,5913,11826,6338,93.29441464184285
V02Q1940352,5355,5355,10710,6731,79.5572723220918
OC3CL200062,5695,5695,11390,7331,77.6838084845178
V02Q1940129,5669,5669,11338,7337,77.2659124982963
V02Q1940756,5338,5338,10676,7192,74.22135706340379
V02Q1940090,4417,4417,8834,6629,66.63146779303062
V02Q1940368,4092,4092,8184,6892,59.37318630295996
V02Q1940788,4054,4054,8108,7320,55.38251366120218
V02Q1940853,3636,3636,7272,6863,52.97974646655982
V02Q1940658,3735,3735,7470,7205,51.839000693962525
V02Q1940262,3680,3680,7360,7152,51.45413870246085
OC3CL210108,3562,3562,7124,6956,51.20759056929269
V02Q1940447,3742,3742,7484,7309,51.197154193460115
OC3CL200131,3736,3736,7472,7385,50.58903182125931
V02Q1940436,3791,3791,7582,7496,50.573639274279614
V02Q1940312,3659,3659,7318,7361,49.70792011954897
V02Q1940525,3485,3485,6970,7014,49.686341602509266
OC3CL200168,3324,3324,6648,6757,49.19342903655469
V02Q1940604,3644,3644,7288,7453,48.89306319602845
OC3CL200195,3610,3610,7220,7392,48.83658008658009
V02Q1940158,3471,3471,6942,7252,47.86265857694429
V02Q1940362,3439,3439,6878,7328,46.92958515283843
OC3CL200210,3090,3090,6180,6667,46.3476826158692
V02Q1940618,3399,3399,6798,7421,45.80245249966312
V02Q1940506,3367,3367,6734,7358,45.75971731448763
OC3CL200014,3384,3384,6768,7412,45.65569347004857
V02Q1940838,1654,1654,3308,3661,45.17891286533734
OC3CL200039,2922,2922,5844,6694,43.65103077382731
V02Q1940796,1449,1449,2898,3727,38.878454521062515
OC3CL200205,2715,2715,5430,7336,37.0092693565976
V02Q1940460,2464,2464,4928,7270,33.89270976616231
OC3CL210106,2252,2252,4504,7073,31.839389226636506
OC3CL200153,1753,1753,3506,5523,31.73999637877965
V02Q1940731,2156,2156,4312,7213,29.890475530292527
OC3CL200072,2029,2029,4058,7331,27.676988132587642
V02Q1940654,1604,1604,3208,6327,25.351667456930617
OC3CL200225,1316,1316,2632,5945,22.136248948696384
V02Q1940079,1245,1245,2490,5692,21.872803935347857
V02Q1940239,1249,1249,2498,5929,21.065947039973015
V02Q1940690,1410,1410,2820,6842,20.608009353990063
V02Q1940126,963,963,1926,4751,20.269416964849505
V02Q1940518,1304,1304,2608,7369,17.695752476591124
V02Q1940357,719,719,1438,4326,16.620434581599632
V02Q1940722,393,393,786,2704,14.534023668639055
OC3CL200254,338,338,676,2541,13.30184966548603
V02Q1940593,385,385,770,3288,11.709245742092458
V02Q1940750,391,391,782,4125,9.478787878787879
V02Q1940332,614,614,1228,6825,8.996336996336996
V02Q1940575,380,380,760,4529,8.390373150805917
V02Q1940611,553,553,1106,7368,7.5054288816503805
V02Q1940662,354,354,708,5035,7.030784508440914
V02Q1940632,281,281,562,4496,6.25
V02Q1940688,183,183,366,3169,5.7746923319659205
V02Q1940311,177,177,354,4160,4.2548076923076925
V02Q1940691,133,133,266,3128,4.251918158567776
V02Q1940124,178,178,356,4849,3.6708599711280674
V02Q1940677,173,173,346,5161,3.3520635535748884
V02Q1940935,199,199,398,6869,2.8970738098704327
V02Q1940852,122,122,244,4521,2.6985180269851803
V02Q1940424,152,152,304,7483,2.0312708806628357
OC3CL200156,63,63,126,4893,1.2875536480686696
V02Q1940511,57,57,114,5169,1.1027278003482297
V02Q1940530,52,52,104,6140,0.8469055374592834
V02Q1940581,48,48,96,6212,0.7726980038634901
V02Q1940552,34,34,68,4522,0.7518796992481203
V02Q1940831,2,2,4,3829,0.05223295899712719
V02Q1940226,1,1,2,5019,0.019924287706714484
V02Q1940130,1,1,2,5450,0.01834862385321101
V02Q1940150,1,1,2,5648,0.017705382436260624
V02Q1940473,1,1,2,5816,0.0171939477303989
V02Q1940579,1,1,2,5825,0.017167381974248927
