시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
V02Q1940505,7581,7581,15162,7612,99.59274829217026
V02Q1940587,217,217,434,218,99.54128440366972
V02Q1940059,9156,9156,18312,9204,99.47848761408083
V02Q1940423,9039,9039,18078,9087,99.4717728623308
OC3CL210100,8990,8990,17980,9038,99.46890905067492
V02Q1940093,8946,8946,17892,8994,99.46631087391594
V02Q1940728,8941,8941,17882,8989,99.46601401713205
V02Q1940700,8935,8935,17870,8983,99.46565735277747
OC3CL200017,8899,8899,17798,8947,99.46350732088969
V02Q1940703,8791,8791,17582,8839,99.45695214390769
V02Q1940568,8785,8785,17570,8833,99.45658326729311
OC3CL200062,8771,8771,17542,8819,99.45572060324301
V02Q1940384,8309,8309,16618,8357,99.42563120737107
V02Q1940946,8043,8043,16086,8091,99.40674823878383
V02Q1940437,7720,7720,15440,7768,99.38208032955716
V02Q1940856,7111,7111,14222,7159,99.32951529543233
V02Q1940824,8891,8891,17782,8963,99.1966975343077
V02Q1940444,5854,5854,11708,5902,99.1867163673331
V02Q1940421,4751,4751,9502,4799,98.99979162325484
V02Q1940129,8266,8266,16532,8458,97.72995980137148
V02Q1940239,8988,8988,17976,9228,97.39921976592979
V02Q1940756,8905,8905,17810,9169,97.12073290435161
V02Q1940368,8805,8805,17610,9069,97.0889844525306
OC3CL200168,8776,8776,17552,9040,97.07964601769912
OC3CL200072,8704,8704,17408,8966,97.07784965424938
OC3CL210108,8764,8764,17528,9028,97.07576428887904
V02Q1940618,8743,8743,17486,9007,97.06894637504163
V02Q1940506,8742,8742,17484,9006,97.06862091938707
V02Q1940447,8730,8730,17460,8994,97.06470980653769
V02Q1940788,8707,8707,17414,8971,97.0571842603946
V02Q1940838,8696,8696,17392,8960,97.05357142857143
V02Q1940362,8686,8686,17372,8950,97.05027932960894
OC3CL200131,8658,8658,17316,8922,97.04102219233356
V02Q1940658,8580,8580,17160,8844,97.01492537313433
OC3CL200225,8571,8571,17142,8835,97.01188455008489
V02Q1940604,8568,8568,17136,8832,97.01086956521739
V02Q1940436,8544,8544,17088,8808,97.00272479564033
OC3CL200014,8512,8512,17024,8776,96.99179580674567
OC3CL200153,8742,8715,17457,9003,96.9510163278907
V02Q1940079,8208,8208,16416,8472,96.88385269121812
V02Q1940312,8573,8573,17146,8849,96.88100350322071
OC3CL200205,7959,7959,15918,8223,96.7894928858081
OC3CL210106,8706,8706,17412,9013,96.59380894263842
V02Q1940589,8507,8507,17014,8808,96.58265213442326
V02Q1940262,7432,7432,14864,7696,96.56964656964658
V02Q1940518,8715,8715,17430,9096,95.811345646438
V02Q1940061,6021,6021,12042,6349,94.83383209954323
V02Q1940552,7406,7406,14812,7842,94.44019382810508
V02Q1940352,8474,8474,16948,9061,93.5216863480852
OC3CL200195,8352,8352,16704,8948,93.33929369691552
V02Q1940055,5631,5631,11262,6128,91.8896866840731
V02Q1940525,7617,7668,15285,8339,91.64767957788705
V02Q1940853,8198,8198,16396,9056,90.5256183745583
OC3CL200039,8086,8086,16172,9008,89.76465364120781
OC3CL200252,8029,8029,16058,8982,89.3898908928969
OC3CL200126,7429,7429,14858,8729,85.10711421697789
V02Q1940090,7628,7628,15256,9017,84.5957635577243
OC3CL200210,7318,7318,14636,9086,80.54149240589919
OC3CL200136,6661,6661,13322,8810,75.60726447219069
V02Q1940731,6586,6586,13172,8715,75.57085484796329
V02Q1940383,6497,6497,12994,8967,72.4545555927289
V02Q1940460,6469,6469,12938,8949,72.28740641412448
V02Q1940332,6196,6222,12418,9065,68.4942084942085
V02Q1940690,5400,5400,10800,7961,67.83067453837458
OC3CL200027,5978,5978,11956,8915,67.05552439708356
OC3CL210101,5635,5635,11270,9021,62.465358607693155
V02Q1940215,4555,4555,9110,8060,56.5136476426799
OC3CL210109,5094,5094,10188,9057,56.24378933421663
V02Q1940725,4522,4522,9044,8096,55.85474308300395
V02Q1940374,4307,4307,8614,7959,54.11483854755622
OC3CL210099,4887,4887,9774,9047,54.017906488338674
V02Q1940794,4786,4786,9572,9038,52.95419340562071
